id_bairro;desc_bairro
1;1 ALIANCA
2;1 DISTRITO
3;1 SUBDISTRITO
4;2 DE JULHO
5;2 DISTRITO
6;5O DISTRITO
7;7 DE ABRIL
8;7 DE SETEMBRO
9;ABADIA
10;ABC
11;ABOLICAO
12;ABRANCHES
13;ABRANTES CAMACARI
14;ACAMPAMENTO
15;ACARACUZINHO
16;ACARI
17;ACAU CENTRO
18;ACLIMACAO
19;ACUPE DE BROTAS
20;ADELINO SIMIONI
21;ADHEMAR GARCIA
22;AEROCLUBE
23;AEROLANDIA
24;AEROPORTO
25;AEROPORTO INTERNACIONAL
26;AEROPORTO VELHO
27;AFLITOS
28;AFONSO PENA
29;AFONSO XIII
30;AGENOR DE LIMA
31;AGNELO BRAGA
32;AGOSTINHO SIMONATO
33;AGRESTE
34;AGROCAFEEIRA
35;AGRONOMIA
36;AGROVILA
37;AGROVILA IV
38;AGUA BOA
39;AGUA BRANCA
40;AGUA BRANCA I
41;AGUA CHATA
42;AGUA DA CRUZ E LEMBRADO
43;AGUA DA PIRAPITINGA
44;AGUA DA VALA
45;AGUA DA VARGINHA
46;AGUA DE MENINOS
47;AGUA DO CACADOR
48;AGUA DO CAMILO
49;AGUA DO CEDRO
50;AGUA DO FOGO
51;AGUA DO MATAO
52;AGUA DO MELCHIOR
53;AGUA DO SANTO ANTONIO
54;AGUA ESPRAIADA CAUCAIA DO ALTO
55;AGUA FRIA
56;AGUA FUNDA
57;AGUA LIMPA
58;AGUA PARADA
59;AGUA QUENTE
60;AGUA SANTA
61;AGUA VERDE
62;AGUADAS
63;AGUAS BRANCAS
64;AGUAS CLARAS
65;AGUAS COMPRIDAS
66;AGUAS FERVIDAS
67;AGUAS LINDAS
68;AGUAS NEGRAS
69;AGUAS NEGRAS ICOARACI
70;AGUDINHO
71;AGUIA DOURADA
72;AHU
73;AHU DE CIMA
74;ALAGOINHAS VELHA
75;ALAMEDA
76;ALCANTARA
77;ALDEIA
78;ALDEIA DE BARUERI
79;ALDEIA DOS CAMARAS
80;ALDEOTA
81;ALECRIM
82;ALEM LINHA
83;ALEMAES
84;ALEXANDRA
85;ALFA VILLE
86;ALFERES RODRIGUES
87;ALFREDO HENRIQUE SAMPAIO
88;ALFREDO NASCIMENTO
89;ALIANCA
90;ALIPIO DE MELO
91;ALMERINDA
92;ALOISIO PINTO
93;ALPHAVILLE
94;ALPHAVILLE INDUSTRIAL
95;ALTER DO CHAO
96;ALTEROSAS
97;ALTO
98;ALTO BOA VISTA
99;ALTO BONITO
100;ALTO CAFEZAL
101;ALTO CAICARAS
102;ALTO DA BOA VISTA
103;ALTO DA BONITA
104;ALTO DA CONCEICAO
105;ALTO DA ESPERANCA
106;ALTO DA GLORIA
107;ALTO DA MARAVILHA
108;ALTO DA POSSE
109;ALTO DA RUA XV
110;ALTO DA SERRA
111;ALTO DA VENTANIA
112;ALTO DAS FLORES
113;ALTO DE PINHEIROS
114;ALTO DO CARDOSO
115;ALTO DO CRISTO
116;ALTO DO FRADE
117;ALTO DO MATEUS
118;ALTO DO SAO FRANCISCO
119;ALTO DOS PASSOS
120;ALTO DOS PRAXEDES
121;ALTO ESPERANCA
122;ALTO GUARAMIRANGA
123;ALTO JOSE BONIFACIO
124;ALTO MARON
125;ALTO RIO POSSMOZER
126;ALTO SANTA MARIA
127;ALTO SAO JOAO
128;ALTO SAO PEDRO
129;ALTO SAO SEBASTIAO
130;ALTO SUMARE
131;ALTOS DA SANTA LUCIA
132;ALTOS DE JORDANESIA
133;ALTOS DE SAO PEDRO
134;ALVORADA
135;AMAMBAI
136;AMARAL
137;AMARAL RIBEIRO
138;AMARELO
139;AMAZONIA
140;AMBAI
141;AMERICA
142;AMERICANO
143;AMERICANOPOLIS
144;AMERICO SILVA
145;AMIZADE
146;AMOREIRAS
147;AMPARO
148;ANA NERY
149;ANA RECH
150;ANA RITA
151;ANCHIETA
152;ANCURI
153;ANDAIA
154;ANDRE CARLONI
155;ANGICOS
156;ANGOLA
157;ANHANGABAU
158;ANIL
159;ANITA GARIBALDI
160;ANNES
161;ANTIGO CAMPO DE POUSO
162;ANTONICO
163;ANTONIO BEZERRA
164;ANTONIO CONSELHEIRO
165;ANTONIO DIAS
166;ANTONIO DIOGO
167;ANTONIO PEREIRA
168;ANTONIO ZANAGA II
169;ANTUNES
170;APARECIDA
171;APARECIDINHA
172;APICUM
173;ARABA
174;ARACATUBA
175;ARACELI
176;ARAPONGUINHAS
177;ARAPORANGA
178;ARAXANS
179;ARCO IRIS
180;ARCOVERDE
181;AREA COMERCIAL
182;AREA INDUSTRIAL
183;AREA RURAL
184;AREADINHO
185;AREADO
186;AREAL
187;AREEIRO
188;AREIA
189;AREIA BRANCA
190;AREIA DOURADA
191;AREIAO
192;AREIAS
193;AREINHA
194;ARIGOLANDIA
195;ARIRANHA
196;ARIRIBA
197;ARIRIU
198;ARIRIU FORMIGA
199;ARMACAO
200;ARMACAO DO P DO SUL
201;ARMACAO DOS BUZIOS
202;ARNULFO ORFAO
203;AROEIRA
204;AROLDO CRUZ
205;AROPORTO VELHO
206;ARRAIAL DA AJUDA
207;ARRAIAL PAULISTA
208;ARROIO
209;ARROIO DA MANTEIGA
210;ARRUDA
211;ARTUR ALVIM
212;ASA BRANCA
213;ASA NORTE
214;ASA SUL
215;ASILO
216;ASSENT AGUA BRANCA
217;ASSENTAMENTO 26 DE OUTUBRO
218;ASSUNCAO
219;ASTECA SAO BENEDITO
220;ASTURIAS
221;ATAIDE
222;ATALAIA
223;ATALAIA VELHA
224;ATERRADO
225;AURA
226;AURORA
227;AUTRAN NUNES
228;AUXILIADORA
229;AVELINO ALVES PALMA
230;AVENIDA
231;AVIACAO
232;B 120 FAZENDINHA
233;B OURO F PAULISTA
234;B VERMELHO
235;BACACHERI
236;BACAXA
237;BACURI
238;BADENFURT
239;BAETA NEVES
240;BAGAGEM
241;BAGUARI
242;BAIRRO
243;BAIRRO AGUA DA PONTE ALTA
244;BAIRRO ALTO
245;BAIRRO ALTO BOQUEIRA
246;BAIRRO ARACOIABINHA
247;BAIRRO BOA VISTA
248;BAIRRO CALAMA
249;BAIRRO CAMPESTRE
250;BAIRRO CASTRIOTO
251;BAIRRO DA CACHOEIRA
252;BAIRRO DA CHAVE
253;BAIRRO DA GLORIA
254;BAIRRO DA PARAIBA
255;BAIRRO DA PONTE
256;BAIRRO DAS FURNAS
257;BAIRRO DAS GRACAS
258;BAIRRO DAS OLIVEIRAS
259;BAIRRO DE ITAVUVU
260;BAIRRO DO CAMPO
261;BAIRRO DO RECIFE
262;BAIRRO DOS AEROVIARIOS
263;BAIRRO DOS ESTADOS
264;BAIRRO DOS FRANCA
265;BAIRRO ENGENHO VELHO
266;BAIRRO EXPEDITO DE ALMEIDA NASCIMENTO
267;BAIRRO FAZENDA PEDRINHAS
268;BAIRRO FELIZ
269;BAIRRO GUARANY
