id_logradouro;desc_logradouro
1;1A RUA NOEL ROSA
2;1A TRAVESSA TEODULO DE ALBUQUERQUE
3;9A RUA CERRO AZUL
4;ACAM ASSENTAMENTO VILA NOVA
5;ACAM CARLOS MARIGUELA SITIO DOIS IRMAOS
6;ACESSO CRT
7;ACESSO IMPERATRIS DONA LEOPOLDINA
8;ACESSO LINHA DIVISA
9;ACESSO LINHA JOAO PESSOA BR
10;ACESSO LOCALIDADE DE CAMPINA DO SIMAO
11;ACESSO NAO CONSTA NAO
12;ACESSO POVOADO BARREIRINHO
13;ACESSO POVOADO RETIRO
14;ACESSO RUA OTAVIO XAVIER RAUEN
15;ACESSO TREVO DE ACESSO NA BR
16;ACSU SO
17;ADE CONJUNTO 4
18;ALAMEDA 1 DE MAIO
19;ALAMEDA 403
20;ALAMEDA ACACIAS
21;ALAMEDA ANTUERPIA
22;ALAMEDA ARAGUAIA
23;ALAMEDA ARI BARROSO
24;ALAMEDA CAMBARAS
25;ALAMEDA CASA BRANCA
26;ALAMEDA CITY CAMPO
27;ALAMEDA COUTO MAGALHAES
28;ALAMEDA DAS AMERICAS
29;ALAMEDA DAS ANDORINHAS
30;ALAMEDA DAS ANDORINHAS CONDOMINIO ARUA ACAMPAR
31;ALAMEDA DAS ESPATODEAS
32;ALAMEDA DAS GAIVOTAS
33;ALAMEDA DAS LARANJEIRAS
34;ALAMEDA DINO BUENO
35;ALAMEDA DO TISIO
36;ALAMEDA DOS TANGARAS
37;ALAMEDA DOS UBIATANS
38;ALAMEDA DOUTOR JOAO PAULINO
39;ALAMEDA DOUTOR SILVIO DE CAMPOS
40;ALAMEDA FLORCENA AMORIM RIMOLI
41;ALAMEDA FRANCA
42;ALAMEDA G
43;ALAMEDA GABRIEL MONTEIRO DA SILVA
44;ALAMEDA HIGINO PIRES MARTINS
45;ALAMEDA ITANHAEM
46;ALAMEDA J
47;ALAMEDA JAIME FORTE
48;ALAMEDA JOAO ROCHA BARBALHO
49;ALAMEDA LUCAS NOGUEIRA GARCEZ
50;ALAMEDA MAMORE
51;ALAMEDA MINISTRO ROCHA AZEVEDO
52;ALAMEDA PADUA
53;ALAMEDA PERU
54;ALAMEDA POLIVALENTE
55;ALAMEDA PROFESSOR LUCAS NOGUEIRA GARCEZ
56;ALAMEDA SANTOS
57;ALAMEDA SEMPRE VIVAS
58;ALAMEDA SETE DE SETEMBRO
59;ALAMEDA SIMAO BOLIVAR
60;ALAMEDA TOPAZIO
61;ALAMEDA VERONA
62;ALAMEDA W
63;ALD CONCEICAO
64;ALTO DA SERRA DE SO DOMINGOS
65;AOS
66;AR 8 CONJUNTO 1
67;AREA HIPODROMO DR OTTO ALENCAR
68;AREA MAPARY
69;AREA VILA PARAISO
70;ASSENT SAO JOSE
71;ASSENTAMENTO CHICO MENDES
72;ASSENTAMENTO TODOS OS SANTOS I
73;AVENIDA 1
74;AVENIDA 1 DE ABRIL
75;AVENIDA 1 DE JUNHO
76;AVENIDA 1 DE MAIO
77;AVENIDA 1 DE MARCO
78;AVENIDA 12
79;AVENIDA 14 DE DEZEMBRO
80;AVENIDA 15 DE NOVEMBRO
81;AVENIDA 2 DE JULHO
82;AVENIDA 20 DE JANEIRO
83;AVENIDA 20 DE MARCO
84;AVENIDA 20 DE SETEMBRO
85;AVENIDA 21 DE ABRIL
86;AVENIDA 25 DE AGOSTO
87;AVENIDA 25 DE JULHO
88;AVENIDA 26 DE ABRIL
89;AVENIDA 28 DE ABRIL
90;AVENIDA 29 DE ABRIL
91;AVENIDA 3
92;AVENIDA 31 DE MARCO
93;AVENIDA 4
94;AVENIDA 43
95;AVENIDA 6
96;AVENIDA 6 DE JUNHO
97;AVENIDA 8 DE NOVEMBRO
98;AVENIDA 85
99;AVENIDA 9 DE JULHO
100;AVENIDA 9 DE MAIO
101;AVENIDA A
102;AVENIDA ABILIO AUGUSTO TAVORA
103;AVENIDA ABILIO MACHADO
104;AVENIDA ACLIMACAO
105;AVENIDA ACM
106;AVENIDA ADELIA CALEFFI GERBI
107;AVENIDA ADEMAR DE BARROS
108;AVENIDA ADHEMAR PEREIRA BARROS
109;AVENIDA ADOLFO PINHEIRO
110;AVENIDA ADUTORA
111;AVENIDA ADVOGADO HORACIO RACCANELLO FILIHO
112;AVENIDA AFFONSO PANSAN
113;AVENIDA AFONSO CAFARO
114;AVENIDA AFONSO MATIA
115;AVENIDA AFONSO PENA
116;AVENIDA AFRANIO PEIXOTO
117;AVENIDA AGAMENON MAGALHAES
118;AVENIDA AGRICOLA PAES DE BARROS
119;AVENIDA AGUA BRANCA
120;AVENIDA AGUA FRIA
121;AVENIDA AGUIA DE HAIA
122;AVENIDA AIMARA
123;AVENIDA ALACID NUNES
124;AVENIDA ALAGOAS
125;AVENIDA ALAN KARDECK
126;AVENIDA ALBERTO BINS
127;AVENIDA ALBERTO CRAVEIRO
128;AVENIDA ALBERTO DINIZ
129;AVENIDA ALBERTO MARANHAO
130;AVENIDA ALBERTO PASSOS
131;AVENIDA ALCINDO CACELA
132;AVENIDA ALDO LIVORATI
133;AVENIDA ALENCASTRO GUIMARAES
134;AVENIDA ALEXANDRE DE MORAIS
135;AVENIDA ALFREDO IGNACIO NOGUEIRA PENIDO
136;AVENIDA ALFREDO LISBOA
137;AVENIDA ALMIRANTE BARROSO
138;AVENIDA ALTAMIRANDO DE ARAUJO RAMOS
139;AVENIDA ALTINO ARANTES
140;AVENIDA ALVARENGA PEIXOTO
141;AVENIDA ALVARO DA CUNHA BARROS
142;AVENIDA ALVES FERREIRA
143;AVENIDA ALVORADA
144;AVENIDA ALZIRA SORIANO
145;AVENIDA AMADO BAHIA
146;AVENIDA AMALIA BRASIL
147;AVENIDA AMALIA SALDANHA
148;AVENIDA AMARAL PEIXOTO
149;AVENIDA AMAZONAS
150;AVENIDA AMIR SOARES DE CARVALHO
151;AVENIDA ANA COSTA
152;AVENIDA ANA GODOI DE SOUZA
153;AVENIDA ANACE
154;AVENIDA ANANIN
155;AVENIDA ANGELICA
156;AVENIDA ANGELO ANTONIO GASPARETTO
157;AVENIDA ANGELO CARNAVALE
158;AVENIDA ANGELO CHAVES
159;AVENIDA ANGELO CORGHI
160;AVENIDA ANGELO SIMOES
161;AVENIDA ANGELO VARELA
162;AVENIDA ANHANGUERA
163;AVENIDA ANISIO HADDAD
164;AVENIDA ANITA GARIBALDI
165;AVENIDA ANITA GARIBALDI CM A FLEMING
166;AVENIDA ANTARTICA
167;AVENIDA ANTHEMO VICTORIO PILAN
168;AVENIDA ANTONIA SPINOSA MUSTAFA
169;AVENIDA ANTONIETA PASQUARELLI PENTEADO
170;AVENIDA ANTONIO ANGELIM
171;AVENIDA ANTONIO ANGELIN
172;AVENIDA ANTONIO CARLOS COSTA
173;AVENIDA ANTONIO CARLOS MAGALHAES
174;AVENIDA ANTONIO CASTANHARO
175;AVENIDA ANTONIO COSTA VIEIRA
176;AVENIDA ANTONIO CUNHA
177;AVENIDA ANTONIO DA ROCHA VIANA
178;AVENIDA ANTONIO DA SILVA NUNES
179;AVENIDA ANTONIO DE ALMEIDA
180;AVENIDA ANTONIO FERNANDES
181;AVENIDA ANTONIO GABRIEL
182;AVENIDA ANTONIO JOAQUIM DE MOURA ANDRADE
183;AVENIDA ANTONIO JOAQUIM DE SOUSA
184;AVENIDA ANTONIO LOURENCO DE SA
185;AVENIDA ANTONIO MAIA
186;AVENIDA ANTONIO MAZIERO
187;AVENIDA ANTONIO OLIMPIO DE MORAIS
188;AVENIDA ANTONIO PIMENTEL DE FREITAS
189;AVENIDA ANTONIO PIRANGA
190;AVENIDA ANTONIO PRADO
191;AVENIDA ANTONIO SYLVIO CUNHA BUENO
192;AVENIDA ANTONIO TRILHA
193;AVENIDA ANTONIO ZANIN
194;AVENIDA APOLONIO SALES
195;AVENIDA ARACA
196;AVENIDA ARACAJU
197;AVENIDA ARAGUAIA
198;AVENIDA ARAPONGAS
199;AVENIDA ARARUAMA
200;AVENIDA ARAUCARIA
201;AVENIDA ARCEBISPO DOM GERALDO FERNANDES
202;AVENIDA ARESTOTELES COSTA PINTO
203;AVENIDA ARGENTINA
204;AVENIDA ARIO BARNABE
205;AVENIDA ARIOSTO DA RIVA
206;AVENIDA ARLINDO MARTINS
207;AVENIDA ARMANDO BEI
208;AVENIDA ARMANDO DE ANDRADE
209;AVENIDA ARNO CARLOS GRACHER
210;AVENIDA AROEIRA
211;AVENIDA ARSENIO RAMOS MARTINS
212;AVENIDA ARTHUR FORATINE
213;AVENIDA ARTHUR HAESE
214;AVENIDA ARTIGAS
215;AVENIDA ARTUR RIBEIRO GUIMARAES
216;AVENIDA ARY THOMAZ SIMONETTI
217;AVENIDA ASPIRANTE JENNER
218;AVENIDA ASSIS BRASIL
219;AVENIDA ASSIS CHATEAUBRIAND
220;AVENIDA ASSIS DE VASCONCELOS
221;AVENIDA ASSIS RIBEIRO
222;AVENIDA ATILIO MENIN
223;AVENIDA ATLANTICA
224;AVENIDA AUGUSTA CLEMENTINA DE NEGREIROZ
225;AVENIDA AUGUSTO DE LIMA
226;AVENIDA AUGUSTO DOS ANJOS
227;AVENIDA AUGUSTO MEYER
228;AVENIDA AUGUSTO SEVERO
229;AVENIDA AUTOMOVEL CLUB
230;AVENIDA AUTOMOVEL CLUBE
231;AVENIDA AUTONOMISTAS
232;AVENIDA AVELINO PARANHO
233;AVENIDA AVIACAO
234;AVENIDA AYLON MACEDO
235;AVENIDA AYRTON SENNA DA SILVA
236;AVENIDA BALTAZAR DE OLIVEIRA GARCIA
237;AVENIDA BALTAZAR DE OLVIEIRA GARCIA
238;AVENIDA BANDEIRANTES
239;AVENIDA BANDEIRANTES DO SUL
240;AVENIDA BARAO DE ALAGOAS
241;AVENIDA BARAO DE BONITO
242;AVENIDA BARAO DE GURGUEIA
243;AVENIDA BARAO DE ITAPEMA
244;AVENIDA BARAO DE ITAPURA
245;AVENIDA BARAO DE MAUA
246;AVENIDA BARAO DE MELGACO
247;AVENIDA BARAO DO RIO BRANCO
248;AVENIDA BARAO HOMEM DE MELO
249;AVENIDA BARRETO DE MENEZES
250;AVENIDA BARTOLOMEU DE GUSMAO
251;AVENIDA BARTOLOMEU ORTIZ DE OLIVER
252;AVENIDA BAURU
253;AVENIDA BEBERIBE
254;AVENIDA BEIJA FLOR
255;AVENIDA BEIRA MAR
256;AVENIDA BEIRA RIO
257;AVENIDA BELA VISTA
258;AVENIDA BELEM DE JUDA TRECHO INICIAL RECIFE
259;AVENIDA BELO HORIZONTE
260;AVENIDA BENEDITO MANOEL DOS SANTOS
261;AVENIDA BENJAMIM MAGALHAES
262;AVENIDA BENTO GONALVES
263;AVENIDA BENTO GONCALVES
264;AVENIDA BENTO XV
265;AVENIDA BERNADO SAYAO
266;AVENIDA BERNARDINO DE CAMPOS
267;AVENIDA BERNARDO BARBOSA MILLEO
268;AVENIDA BERNARDO SAYAO
269;AVENIDA BERNARDO VIEIRA DE MELO
270;AVENIDA BETA
271;AVENIDA BEZERRA DE MENEZES
272;AVENIDA BOA VIAGEM
273;AVENIDA BOAVENTURA DIAS
274;AVENIDA BOM JESUS
275;AVENIDA BOQUEIRAO
276;AVENIDA BORBA
277;AVENIDA BOULEVARD ALVARO MAIA
278;AVENIDA BPS
279;AVENIDA BRAS DE PINA
280;AVENIDA BRASIL
281;AVENIDA BRASIL CENTRAL
282;AVENIDA BRASIL OESTE
283;AVENIDA BRASILIA
284;AVENIDA BRAZ LEME
285;AVENIDA BRAZ OLAIA ACOSTA
286;AVENIDA BRIG FARIA LIMA
287;AVENIDA BRIGADEIRA FARIA LIMA
288;AVENIDA BRIGADEIRO EDUARDO GOMES
289;AVENIDA BRIGADEIRO EVERALDO BREVES
290;AVENIDA BRIGADEIRO FARIA LIMA
291;AVENIDA BRIGADEIRO JOSE VICENTE FARIA LIMA
292;AVENIDA BRIGADEIRO LUIS ANTONIO
293;AVENIDA BRIGADEIRO SOUTO
294;AVENIDA BRUNO RUGGIERO FILHO
295;AVENIDA BUARQUE DE MACEDO
296;AVENIDA BUCAR NETO
297;AVENIDA BURITIS
298;AVENIDA C
299;AVENIDA C 182
300;AVENIDA CACHOEIRA PAULISTA
301;AVENIDA CAETANO MARINHO
302;AVENIDA CAIRU
303;AVENIDA CALAMA
304;AVENIDA CALIFORNIA
305;AVENIDA CAMILO DI LELLIS
306;AVENIDA CAMPOS SALES
307;AVENIDA CAMPOS SALLES
308;AVENIDA CANAA
309;AVENIDA CANAVIEIRAS
310;AVENIDA CANDIDO ALEIXO
311;AVENIDA CANDIDO DANTAS DE ARAUJO
312;AVENIDA CANDIDO DE ABREU
313;AVENIDA CANDIDO DIAS
314;AVENIDA CANDIDO HARTMANN
315;AVENIDA CANDIDO PORTINARI
316;AVENIDA CANDIDO TOLEDO
317;AVENIDA CANGAIBA
318;AVENIDA CANTAGALO
319;AVENIDA CAPITAO ARTHUR DOS SANTOS
320;AVENIDA CAPITAO EUGENIO GABRIEL
321;AVENIDA CAPITAO FRANCISCO CEZAR
322;AVENIDA CAPITAO JOSE PESSOA
323;AVENIDA CAPITAO WALDEMAR PAULA LIMA
324;AVENIDA CARDOSO DE SA
325;AVENIDA CARDOSO MOREIRA
326;AVENIDA CARLOS BARBOSA
327;AVENIDA CARLOS CAVALCANTI
328;AVENIDA CARLOS DE MEDEIROS
329;AVENIDA CARLOS GOMES
330;AVENIDA CARLOS HUGUENEY
331;AVENIDA CARLOS JEREISSATI
332;AVENIDA CARLOS LACERDA
333;AVENIDA CARLOS LINDEMBERG
334;AVENIDA CARLOS MARTINS SODERO
335;AVENIDA CARMINDO DE CAMPOS
336;AVENIDA CARMINE FEOLA
337;AVENIDA CARVALHO LEAL
338;AVENIDA CASTELO BRANCO
339;AVENIDA CASTRO ALVES
340;AVENIDA CATARINA ELLER
341;AVENIDA CAVALHADA
342;AVENIDA CAXANGA
343;AVENIDA CDE FRANCISCO MATARAZZO
344;AVENIDA CEARA
345;AVENIDA CELSO GARCIA
346;AVENIDA CELSO MALCHER
347;AVENIDA CELSO MAZUTI
348;AVENIDA CELSO MAZUTTI
349;AVENIDA CELSO PORFIRIO MACHADO
350;AVENIDA CELSO RAMOS
351;AVENIDA CENTENARIO
352;AVENIDA CENTO E UM
353;AVENIDA CENTRAL
354;AVENIDA CERRO AZUL
355;AVENIDA CESARIO ALVIM
356;AVENIDA CESARIO DE MELLO
357;AVENIDA CESARIO DE MELO
358;AVENIDA CHAMPAGNAT
359;AVENIDA CHAMPAPNAT
360;AVENIDA CINCO
361;AVENIDA CIRCULAR
362;AVENIDA CLEMENTINO
363;AVENIDA CLETO NUNES
364;AVENIDA CLODOALDO GARCIA
365;AVENIDA COARACY NUNES
366;AVENIDA COLOMBO
367;AVENIDA COLOMBO SALLES
368;AVENIDA COMENDADOR COSTA
369;AVENIDA COMENDADOR FRANCISCO AVELINO MAIA
370;AVENIDA COMENDADOR GUSTAVO PAIVA
371;AVENIDA COMENDADOR JOSE PEREIRA
372;AVENIDA COMENDADOR RAFAEL
373;AVENIDA COMENDADOR TELES
374;AVENIDA COMERCIAL
