id_municipio;desc_municipio
1;ABADIA DE GOIAS
2;ABADIANIA
3;ABAETE
4;ABAETETUBA
5;ABATIA
6;ABELARDO LUZ
7;ABRE CAMPO
8;ABREU E LIMA
9;ACAILANDIA
10;ACARAU
11;ACEGUA
12;ACOPIARA
13;ACRELANDIA
14;ADAMANTINA
15;ADRIANOPOLIS
16;ADUSTINA
17;AFRANIO
18;AFUA
19;AGROLANDIA
20;AGRONOMICA
21;AGUA BOA
22;AGUA DOCE DO NORTE
23;AGUA LIMPA
24;AGUA PRETA
25;AGUA SANTA
26;AGUAS DE SAO PEDRO
27;AGUAS FORMOSAS
28;AGUAS LINDAS DE GOIAS
29;AGUDO
30;AGUDOS
31;AGUDOS DO SUL
32;AIUABA
33;ALAGOINHA
34;ALAGOINHAS
35;ALDEIAS ALTAS
36;ALEGRE
37;ALEGRETE
38;ALEGRIA
39;ALEM PARAIBA
40;ALFENAS
41;ALFREDO CHAVES
42;ALIANCA DO TOCANTINS
43;ALMEIRIM
44;ALMIRANTE TAMANDARE
45;ALTA FLORESTA
46;ALTAMIRA
47;ALTEROSA
48;ALTINHO
49;ALTINOPOLIS
50;ALTO ALEGRE
51;ALTO ALEGRE DO MARANHAO
52;ALTO ARAGUAIA
53;ALTO CAPARAO
54;ALTO DO RODRIGUES
55;ALTO GARCAS
56;ALTO JEQUITIBA
57;ALTO PARAISO DE GOIAS
58;ALTO PARANA
59;ALTO TAQUARI
60;ALTONIA
61;ALVARES MACHADO
62;ALVINOPOLIS
63;ALVORADA
64;ALVORADA DO SUL
65;AMAPA DO MARANHAO
66;AMARAJI
67;AMARANTE
68;AMARGOSA
69;AMELIA RODRIGUES
70;AMERICA DOURADA
71;AMERICANA
72;AMERICO BRASILIENSE
73;AMETISTA DO SUL
74;AMONTADA
75;AMPARO
76;ANALANDIA
77;ANANAS
78;ANANINDEUA
79;ANAPOLIS
80;ANAPU
81;ANCHIETA
82;ANDARAI
83;ANDIRA
84;ANDRADAS
85;ANDRADINA
86;ANDRELANDIA
87;ANGATUBA
88;ANGELICA
89;ANGELIM
90;ANGELINA
91;ANGRA DOS REIS
92;ANHEMBI
93;ANHUMAS
94;ANISIO DE ABREU
95;ANTONINA
96;ANTONIO PRADO
97;APARECIDA
98;APARECIDA D OESTE
99;APARECIDA DE GOIANIA
100;APARECIDA DO RIO NEGRO
101;APARECIDA DO TABOADO
102;APIAI
103;APICUM ACU
104;APIUNA
105;APODI
106;APUCARANA
107;AQUIDABA
108;AQUIRAZ
109;ARACAJU
110;ARACARIGUAMA
111;ARACATI
112;ARACATUBA
113;ARACI
114;ARACOIABA
115;ARACOIABA DA SERRA
116;ARACRUZ
117;ARAGUACEMA
118;ARAGUAIANA
119;ARAGUAINA
120;ARAGUAINHA
121;ARAGUAPAZ
122;ARAGUARI
123;ARAL MOREIRA
124;ARAMARI
125;ARAPIRACA
126;ARAPONGA
127;ARAPONGAS
128;ARAQUARI
129;ARARANGUA
130;ARARAQUARA
131;ARARAS
132;ARARIPINA
133;ARARUAMA
134;ARARUNA
135;ARAUA
136;ARAUCARIA
137;ARAUJOS
138;ARAXA
139;ARCEBURGO
140;ARCOS
141;ARCOVERDE
142;AREAL
143;AREALVA
144;ARGIRITA
145;ARIPUANA
146;ARIQUEMES
147;ARIRANHA
148;ARMACAO DOS BUZIOS
149;ARMAZEM
150;ARRAIAS
151;ARROIO DO MEIO
152;ARROIO DOS RATOS
153;ARTUR NOGUEIRA
154;ARUANA
155;ARUJA
156;ARVOREZINHA
157;ASCURRA
158;ASSARE
159;ASSIS
160;ASSIS CHATEAUBRIAND
161;ASTOLFO DUTRA
162;ASTORGA
163;ATALAIA
164;ATALEIA
165;ATIBAIA
166;AURIFLAMA
167;AURILANDIA
168;AUTAZES
169;AVAI
170;AVARE
171;AVELINO LOPES
172;AXIXA DO TOCANTINS
173;BABACULANDIA
174;BACABAL
175;BADY BASSITT
176;BAGE
177;BAGRE
178;BAIA FORMOSA
179;BAIXA GRANDE
180;BAIXO GUANDU
181;BALBINOS
182;BALNEARIO BARRA DO SUL
183;BALNEARIO CAMBORIU
184;BALNEARIO PICARRAS
185;BALNEARIO PINHAL
186;BALSAMO
187;BALSAS
188;BAMBUI
189;BANDEIRANTES
190;BANZAE
191;BARAO DE COCAIS
192;BARAO DE MONTE ALTO
193;BARAUNA
194;BARBACENA
195;BARBALHA
196;BARBOSA
197;BARBOSA FERRAZ
198;BARCARENA
199;BARIRI
200;BARRA
201;BARRA BONITA
202;BARRA DA ESTIVA
203;BARRA DE SANTA ROSA
204;BARRA DE SAO FRANCISCO
205;BARRA DO CHAPEU
206;BARRA DO CHOCA
207;BARRA DO CORDA
208;BARRA DO GARCAS
209;BARRA DO GUARITA
210;BARRA DO MENDES
211;BARRA DO PIRAI
212;BARRA DO RIBEIRO
213;BARRA DOS COQUEIROS
214;BARRA LONGA
215;BARRA MANSA
216;BARRA VELHA
217;BARRACAO
218;BARRAS
219;BARREIRA
220;BARREIRAS
221;BARREIRINHAS
222;BARREIROS
223;BARRETOS
224;BARRO
225;BARRO DURO
226;BARROQUINHA
227;BARUERI
228;BASTOS
229;BATATAIS
230;BATAYPORA
231;BATURITE
232;BAURU
233;BAYEUX
234;BEBEDOURO
235;BEBERIBE
236;BELA VISTA
237;BELA VISTA DE MINAS
238;BELA VISTA DO MARANHAO
239;BELA VISTA DO PARAISO
240;BELEM
241;BELFORD ROXO
242;BELO HORIZONTE
243;BELO JARDIM
244;BELO ORIENTE
245;BELO VALE
246;BENEDITINOS
247;BENEVIDES
248;BENJAMIN CONSTANT DO SUL
249;BENTO GONCALVES
250;BERNARDINO BATISTA
251;BERNARDINO DE CAMPOS
252;BERTIOGA
253;BETIM
254;BICAS
255;BIGUACU
256;BIRIGUI
257;BLUMENAU
258;BOA ESPERANCA
259;BOA ESPERANCA DO SUL
260;BOA VISTA
261;BOA VISTA DA APARECIDA
262;BOA VISTA DO GURUPI
263;BOA VISTA DO INCRA
264;BOA VISTA DO TUPIM
265;BOCA DO ACRE
266;BOCAIUVA
267;BOCAIUVA DO SUL
268;BODO
