id_setor;desc_setor
1;ATACADO
2;BENS DE CAPITAL
3;BENS DE CONSUMO
4;DIVERSOS
5;ELETROELETRONICOS
6;ENERGIA
7;FARMACEUTICA
8;INDUSTRIA AUTOMOTIVA
9;INDUSTRIA DA CONSTRUCAO
10;INDUSTRIA DIGITAL
11;MINERACAO
12;PAPEL E CELULOSE
13;PRODUTOS DE AGROPECUARIA
14;QUIMICA-PETROQUIMICA
15;SERVICOS ADMINISTRATIVOS
16;SERVICOS DE ALOJAMENTO/ALIMENTACAO
17;SERVICOS DE EDUCACAO
18;SERVICOS DE SANEAMENTO BASICO
19;SERVICOS DE SAUDE
20;SERVICOS DIVERSOS
21;SERVICOS PROFISSIONAIS E TECNICOS
22;SIDERURGICA-METALURGIA
23;TELECOM
24;TEXTEIS
25;TRANSPORTE
26;VAREJO
