cd_cnpj;flag_matriz;dt_abertura;nm_razao_social;id_natureza_juridica;id_classificacao_natureza_juridica;id_uf;id_bairro;id_municipio;id_logradouro;id_situacao;longitude;latitude;qtd_total_veiculos_antt;qtd_total_veiculos_leves;qtd_total_veiculos_pesados;qtd_total_veiculos_pesados;id_faixa_qtde_veiculos;flag_optante_simei;id_saude_tributaria;id_nivel_atividade;id_setor;id_cnae_principal;id_ramo
06276262000160;SIM;5/26/2004;NAT S INFORMATICA SERVICOS LTDA ME;36;2;11;2316;2167;3366;2;-48,2727474;-18,915872;0.0;0;0;0;1;NÃO;5;3;;;
02666539000100;SIM;7/27/1998;LORENNA REPRESENTACOES LTDA ME;36;2;11;1082;242;4569;1;-43,9157177;-19,8636567;0.0;1;0;0;1;NÃO;2;1;1;621;30
29994415000100;SIM;8/8/1978;CASA CROATA MOVEIS E UTILIDADES DO LAR LTDA;36;2;19;3120;1724;3234;2;-43,2219394;-22,8918313;0.0;0;0;0;1;NÃO;5;3;;;
64630783000170;SIM;9/27/1990;CONFECCOES E CREACOES WOYAGE LTDA;36;2;27;1541;1082;5698;2;-46,8637734;-23,217766;0.0;0;0;0;1;NÃO;5;3;;;
10296497000190;SIM;8/27/2008;I G DA SILVA RESTAURANTE ME;14;2;10;3126;1951;6141;1;-44,194565;-2,5770396;0.0;0;0;0;1;NÃO;1;4;16;521;4
15687956000180;SIM;6/12/2012;AUREA MARIA RODRIGUES FERREIRA MEI;14;2;5;3987;2095;5027;1;-39,7694799;-17,5325634;0.0;0;0;0;1;SIM;6;1;14;463;56
11076541000110;SIM;8/10/2009;MARIA APARECIDA FLORENCIO DE SOUZA MELO ME;14;2;2;614;1200;3418;1;-35,8956794;-9,7205156;0.0;0;0;0;1;NÃO;2;4;16;17;5
15617530000150;SIM;5/29/2012;ANA MARIA DE SOUZA MEI;14;2;27;2646;1987;4869;1;-46,3973877;-23,9538307;0.0;0;0;0;1;SIM;6;4;3;300;32
11661360000150;SIM;1/22/1993;FRANCISCO VALTER DA SILVA ME;14;2;6;2224;736;6439;1;-38,4910903;-3,8310082;0.0;0;0;0;1;NÃO;4;4;26;255;31
04388986000170;SIM;4/3/2001;TECHNOLOGY CHEMICAL PRODUTOS QUIMICOS LTDA ME;36;2;23;958;249;1805;1;-51,5169861;-29,1667089;0.0;0;0;0;1;NÃO;2;4;26;279;31
15930382000120;SIM;7/5/2012;ELEICAO 2012 LUIZ ALVES FEITOZA VEREADOR;4;2;6;614;12;7691;2;-39,4483953;-6,0895114;0.0;0;0;0;1;NÃO;5;3;20;90;15
14347012000100;SIM;9/19/2011;MEUCANTO PIZZARIA KIDS LTDA ME;36;2;13;1387;2202;1268;1;-56,1226763;-15,6564601;0.0;0;0;0;1;NÃO;4;4;16;118;4
