cd_cnpj;flag_matriz;dt_abertura;nm_razao_social;cd_natureza_juridica;de_natureza_juridica;nm_logradouro;cd_cep;nm_bairro;nm_municipio;sg_uf;de_situacao;de_classif_natureza_juridica
12305448000100;SIM;7/30/2010;GIOVANNA SOUZA DE LIMA DATE MEI;2135;EMPRESARIO INDIVIDUAL;ALAMEDA DAS ANDORINHAS CONDOMINIO ARUA ACAMPAR;04880230;RECANTO CAMPO BELO;SAO PAULO;SP;ATIVA;PRIVADO
14180365000150;SIM;8/24/2011;NETO JUNIOR REPRESENTACOES COMERCIAIS LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA DO CRUZEIRO;45604620;JOAO SOARES;ITABUNA;BA;ATIVA;PRIVADO
01144533000100;SIM;4/4/1996;T P V CONSTRUCOES ELETRICAS LTDA;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA VITOR DE QUEIROZ MATOS;03263010;PARQUE SAO LUCAS;SAO PAULO;SP;BAIXADA;PRIVADO
01911869000150;SIM;5/6/1997;LUIZA DE FATIMA CAMPOS DE SOUZA;2135;EMPRESARIO INDIVIDUAL;RUA ANTONIO GALDINO MARCA;36660000;VILA CAXIAS;ALEM PARAIBA;MG;BAIXADA;PRIVADO
00243955000170;SIM;10/14/1994;E C PINTO PRADO & CIA LTDA;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA PORTAO DA PIEDADE;40070045;BARRIS;SALVADOR;BA;BAIXADA;PRIVADO
00890690000100;SIM;10/27/1995;LUCIANO OLIVEIRA DA SILVA ME;2135;EMPRESARIO INDIVIDUAL;AVENIDA CANDIDO PORTINARI;05114001;VILA JAGUARA;SAO PAULO;SP;BAIXADA;PRIVADO
00887641000100;SIM;9/15/1995;VZW LANCHES LTDA;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA 24 DE MAIO;83323060;VILA TARUMA;PINHAIS;PR;BAIXADA;PRIVADO
00092783000180;SIM;6/25/1982;SAUNA NACOES UNIDAS LTDA;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA DESEMBARGADOR JAIME;75020040;SETOR CENTRAL;ANAPOLIS;GO;BAIXADA;PRIVADO
09320876000190;SIM;1/11/2008;CARLOS ALEXANDRE DE MORAIS ESTACIONAMENTO ME;2135;EMPRESARIO INDIVIDUAL;RUA VAIL JUSTINIANO TOLEDO;19700000;JARDIM MURILO MACEDO;PARAGUACU PAULISTA;SP;BAIXADA;PRIVADO
01846005000100;SIM;4/15/1986;ANTONIO JOSE DA SILVA RUBIM;2135;EMPRESARIO INDIVIDUAL;RUA PARAENSE;77930000;CENTRO;AXIXA DO TOCANTINS;TO;BAIXADA;PRIVADO
05610297000120;SIM;4/24/2003;RECANTO DA MODA CALCADOS E CONFECCOES LTDA;2062;SOCIEDADE EMPRESARIA LIMITADA;AVENIDA ESTADO;75074590;RECANTO DO SOL;ANAPOLIS;GO;BAIXADA;PRIVADO
15044857000180;SIM;2/14/2012;MARIA GILVANIA DE AQUINO MEI;2135;EMPRESARIO INDIVIDUAL;RUA ANTONIO CHICALHONE;13290000;JARDIM LAGO AZUL SANTO ANTONIO;LOUVEIRA;SP;ATIVA;PRIVADO
15028623000140;SIM;2/9/2012;DEBORA PINHEIRO DA SILVA MEI;2135;EMPRESARIO INDIVIDUAL;RUA AMANARU;21031590;RAMOS;RIO DE JANEIRO;RJ;ATIVA;PRIVADO
07297742000170;SIM;2/14/2005;MAURO ODELLI ME;2135;EMPRESARIO INDIVIDUAL;ESTRADA VARGEM GRANDE;89135000;VARGEM GRANDE;APIUNA;SC;ATIVA;PRIVADO
15291845000150;SIM;3/29/2012;COMERCIO FASHION BIJU LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;AVENIDA EXPEDITO GARCIA;29146200;CAMPO GRANDE;CARIACICA;ES;ATIVA;PRIVADO
15090404000190;SIM;2/24/2012;CONFECCOES BG LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA HARROLD LAFFIN;89108000;GUARANI MIRIM;MASSARANDUBA;SC;ATIVA;PRIVADO
90400888251650;NÃO;5/28/2010;BANCO SANTANDER BRASIL SA;2046;SOCIEDADE ANONIMA ABERTA;RUA BATISTA RAFFI;13068601;JARDIM APARECIDA;CAMPINAS;SP;ATIVA;PRIVADO
12254288000100;SIM;7/19/2010;CASA DO GOL LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;AVENIDA DOM PEDRO II;30720460;CAICARAS;BELO HORIZONTE;MG;ATIVA;PRIVADO
04226709000160;SIM;1/5/2001;COMERCIAL M&M YAMASHITA LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;AVENIDA DOUTOR GASTAO VIDIGAL CEAGESP;05314000;VILA LEOPOLDINA;SAO PAULO;SP;ATIVA;PRIVADO
16679748000100;SIM;11/14/1973;GRUPO CIENTIFICO RAMATIS;3999;ASSOCIACAO PRIVADA;PRACA RAMATIS;31230000;PARQUE RIACHUELO;BELO HORIZONTE;MG;ATIVA;PRIVADO
