ramo_de_atividade;divisoes;divisao_2_digitos_cnae
ATACADO;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;46
INDUSTRIA AUTOMOTIVA;FABRICAÇÃO DE VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS;29
INDUSTRIA AUTOMOTIVA;FABRICAÇÃO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEÍCULOS AUTOMOTORES;30
BENS DE CAPITAL;ATIVIDADES DE SERVIÇOS FINANCEIROS;64
BENS DE CAPITAL;SEGUROS, RESSEGUROS, PREVIDÊNCIA COMPLEMENTAR E PLANOS DE SAÚDE;65
BENS DE CAPITAL;ATIVIDADES AUXILIARES DOS SERVIÇOS FINANCEIROS, SEGUROS, PREVIDÊNCIA COMPLEMENTAR E PLANOS DE SAÚDE;66
BENS DE CONSUMO;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;10
BENS DE CONSUMO;FABRICAÇÃO DE BEBIDAS;11
BENS DE CONSUMO;FABRICAÇÃO DE PRODUTOS DO FUMO;12
BENS DE CONSUMO;CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS;14
BENS DE CONSUMO;PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS;15
BENS DE CONSUMO;FABRICAÇÃO DE PRODUTOS DE MADEIRA;16
BENS DE CONSUMO;FABRICAÇÃO DE MÓVEIS;31
DIVERSOS;FABRICAÇÃO DE PRODUTOS DIVERSOS;32
ELETROELETRONICOS;FABRICAÇÃO DE EQUIPAMENTOS DE INFORMÁTICA, PRODUTOS ELETRÔNICOS E ÓPTICOS;26
ELETROELETRONICOS;FABRICAÇÃO DE MÁQUINAS, APARELHOS E MATERIAIS ELÉTRICOS;27
ENERGIA;ELETRICIDADE, GÁS E OUTRAS UTILIDADES;35
FARMACEUTICA;FABRICAÇÃO DE PRODUTOS FARMOQUÍMICOS E FARMACÊUTICOS;21
INDUSTRIA DA CONSTRUCAO;CONSTRUÇÃO DE EDIFÍCIOS;41
INDUSTRIA DA CONSTRUCAO;OBRAS DE INFRA-ESTRUTURA;42
INDUSTRIA DA CONSTRUCAO;SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO;43
INDUSTRIA DIGITAL;ATIVIDADES DOS SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO;62
INDUSTRIA DIGITAL;ATIVIDADES DE PRESTAÇÃO DE SERVIÇOS DE INFORMAÇÃO;63
MINERACAO;EXTRAÇÃO DE CARVÃO MINERAL;5
MINERACAO;EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL;6
MINERACAO;EXTRAÇÃO DE MINERAIS METÁLICOS;7
